year,player_id,rebounds,inside_50s,clearances,contested_possessions,team_id
2021,2021661124,0,2,3,4,1
2021,2021661124,0,0,2,5,1
2021,2021661124,0,1,1,6,1
2021,2021661124,2,2,0,3,1
2021,2021661124,0,2,4,7,1
2021,2012662083,2,1,0,1,1
2021,2021661124,0,3,0,6,1
2021,2021661124,0,2,1,6,1
2021,2021661124,0,3,0,6,1
2021,2021661124,0,2,0,8,1
2021,2021661124,0,0,1,4,1
2021,2020665315,1,1,0,6,1
2021,2021661124,0,1,1,8,1
2021,2021661124,0,1,0,2,1
2021,2021661124,0,0,1,10,1
2021,2021661124,1,1,0,3,1
2021,2021661124,0,2,0,2,1
2021,2021661124,0,2,0,3,1
2021,2021661124,0,4,3,6,1
2021,2020665315,3,2,0,9,1
2021,2020665315,1,0,0,5,1
2021,2020665315,2,1,0,2,1
2021,2016654616,1,2,0,8,2
2021,2016654616,1,2,0,2,2
2021,2016652575,3,0,0,6,2
2021,2016652575,5,1,0,10,2
2021,2016652575,3,4,0,8,2
2021,2016652575,7,1,1,6,2
2021,2016652575,3,1,0,5,2
2021,2016652575,3,0,0,5,2
2021,2016652575,3,1,0,8,2
2021,2016652575,3,1,0,6,2
2021,2016652575,1,0,0,8,2
2021,2016652575,4,0,0,5,2
2021,2016652575,4,2,0,8,2
2021,2016652575,3,1,0,5,2
2021,2016652575,5,2,0,6,2
2021,2015656514,3,0,0,7,2
2021,2016654616,0,0,0,4,2
2021,2016654616,1,1,1,4,2
2021,2016654616,0,3,1,5,2
2021,2016654616,1,3,1,9,2
2021,2016652575,4,2,0,5,2
2021,2016652575,1,1,0,3,2
2021,2016652575,3,2,0,0,2
2021,2012674522,0,0,1,5,3
2021,2012674522,0,3,1,2,3
2021,2005667052,0,0,0,2,3
2021,2005667052,0,1,0,5,3
2021,2005667052,1,2,2,9,3
2021,2005667052,0,3,1,5,3
2021,2005667052,1,0,1,8,3
2021,2005667052,0,1,1,4,3
2021,2005667052,1,3,1,5,3
2021,2005667052,1,1,1,6,3
2021,2005667052,0,1,0,5,3
2021,2005667052,1,2,0,2,3
2021,2005667052,0,1,3,5,3
2021,2005667052,0,4,0,4,3
2021,2005667052,0,0,0,5,3
2021,2005667052,0,0,0,2,3
2021,2014676336,2,3,6,15,3
2021,2005667052,0,2,0,2,3
2021,2005667052,0,1,0,3,3
2021,2005667052,0,0,0,3,3
2021,2012656391,0,3,8,9,4
2021,2012656391,1,2,5,5,4
2021,2017661572,0,2,2,7,4
2021,2017661572,0,0,0,5,4
2021,2017661572,0,0,1,3,4
2021,2017661572,0,0,0,2,4
2021,2017661572,0,1,0,3,4
2021,2012656391,0,2,8,16,4
2021,2021663611,1,5,1,5,4
2021,2021663611,0,1,1,2,4
2021,2012656391,2,9,7,15,4
2021,2012656391,0,6,4,17,4
2021,2012656391,0,6,11,18,4
2021,2012656391,1,3,3,6,4
2021,2012656391,1,4,8,14,4
2021,2012656391,5,3,6,10,4
2021,2012656391,3,4,10,15,4
2021,2020677029,4,1,0,5,5
2021,2020677029,0,1,1,1,5
2021,2021674111,1,2,2,5,5
2021,2021674111,4,1,1,5,5
2021,2021674111,1,0,0,2,5
2021,2021674111,0,1,0,4,5
2021,2021674111,1,2,0,3,5
2021,2021674111,0,2,0,3,5
2021,2014655392,0,0,0,4,5
2021,2020677029,0,0,0,5,5
2021,2021674111,0,1,0,1,5
2021,2021674111,2,0,0,4,5
2021,2021674111,0,5,3,5,5
2021,2021674111,0,3,1,10,5
2021,2018673109,0,3,2,5,5
2021,2018673109,1,5,3,7,5
2021,2018673109,1,3,3,6,5
2021,2019677166,0,6,1,6,5
2021,2014651814,2,2,1,3,6
2021,2014651814,3,3,1,7,6
2021,2014651814,3,5,2,5,6
2021,2014651814,1,7,1,6,6
2021,2014651814,3,3,1,10,6
2021,2014651814,3,1,1,6,6
2021,2014651814,0,4,1,6,6
2021,2014651814,2,3,3,10,6
2021,2014651814,1,3,4,8,6
2021,2014651814,4,3,0,4,6
2021,2014651814,0,1,1,4,6
2021,2014659159,2,1,0,2,6
2021,2014659159,4,3,5,7,6
2021,2014659159,4,1,3,5,6
2021,2014651814,1,6,2,6,6
2021,2020653600,1,1,3,6,8
2021,2017651121,1,2,1,5,8
2021,2017651121,2,5,0,2,8
2021,2017651121,0,4,1,4,8
2021,2017651121,0,3,0,4,8
2021,2020653600,1,4,4,7,8
2021,2020653600,2,2,5,5,8
2021,2020653600,5,4,5,10,8
2021,2017651121,0,4,0,5,8
2021,2017651121,0,7,2,8,8
2021,2017651121,0,2,0,6,8
2021,2017651121,0,2,0,1,8
2021,2017651121,1,2,1,5,8
2021,2017651121,0,6,1,10,8
2021,2019659412,2,1,2,8,7
2021,2019659412,2,2,3,10,7
2021,2019659412,4,1,2,7,7
2021,2019659412,3,2,1,8,7
2021,2019659412,4,1,2,10,7
2021,2019659412,2,1,0,6,7
2021,2019659412,3,1,2,9,7
2021,2019659412,0,3,0,3,7
2021,2019659412,2,1,0,6,7
2021,2019659412,1,2,0,4,7
2021,2014668825,2,2,0,3,7
2021,2014668825,4,2,1,7,7
2021,2014668825,1,0,1,4,7
2021,2019659412,3,1,1,5,7
2021,2019659412,1,0,1,5,7
2021,2019659412,2,0,0,5,7
2021,2019659412,1,5,2,5,7
2021,2020651147,5,5,0,7,9
2021,2020651147,5,2,1,5,9
2021,2020651147,7,0,0,2,9
2021,2020651147,7,0,1,4,9
2021,2020651147,1,2,2,6,9
2021,2020651147,3,0,1,2,9
2021,2020651147,4,1,0,0,9
2021,2020651147,0,0,0,0,9
2021,2020651147,2,3,0,2,9
2021,2021661243,0,4,1,4,9
2021,2020651147,1,0,1,8,9
2021,2020651147,1,2,1,4,9
2021,2020651147,0,3,3,7,9
2021,2011663064,0,2,1,7,10
2021,2011663064,0,4,3,8,10
2021,2011663064,0,1,0,8,10
2021,2011663064,1,5,2,5,10
2021,2011663064,1,1,0,9,10
2021,2011663064,0,2,0,5,10
2021,2021668904,1,2,0,3,10
2021,2021668904,4,2,2,5,10
2021,2021668904,3,5,0,3,10
2021,2021668904,3,4,0,3,10
2021,2019665482,0,0,0,0,11
2021,2015665345,3,3,2,8,11
2021,2019665482,1,6,2,3,11
2021,2015665345,1,0,2,9,11
2021,2015665345,1,3,0,4,11
2021,2015665345,4,1,3,10,11
2021,2015665345,0,2,1,8,11
2021,2021666343,2,2,3,10,11
2021,2021666343,3,3,0,3,11
2021,2011656008,2,4,1,6,12
2021,2013651330,0,4,0,3,12
2021,2011656008,4,3,0,6,12
2021,2011656008,3,0,0,1,12
2021,2011656008,3,0,0,1,12
2021,2013651330,0,5,8,11,12
2021,2013651330,1,2,3,9,12
2021,2016655002,3,0,0,8,13
2021,2016655002,8,2,1,8,13
2021,2016655002,5,0,0,5,13
2021,2016655002,4,0,0,6,13
2021,2016655002,1,0,0,4,13
2021,2016655002,2,1,0,5,13
2021,2016655002,4,1,0,5,13
2021,2016655002,3,1,1,7,13
2021,2020654979,1,0,0,5,14
2021,2020654979,0,4,0,9,14
2021,2020654979,0,2,1,6,14
2021,2020654979,1,1,0,4,14
2021,2020654979,0,1,0,7,14
2021,2017662715,1,0,0,6,15
2021,2017662715,2,4,0,2,15
2021,2017662715,0,0,0,5,15
2021,2014668660,0,2,0,3,15
2021,2017669102,0,5,0,2,15
2021,2020651689,1,3,2,12,16
2021,2020651689,0,1,0,3,16
2021,2015654090,0,0,0,0,17
2021,2018659713,0,1,0,3,17
2020,2015652891,2,1,0,8,1
2020,2015652891,1,4,1,4,1
2020,2015652891,0,0,0,1,1
2020,2012662083,8,0,0,4,1
2020,2012662083,2,1,0,1,1
2020,2012662083,4,0,0,3,1
2020,2012662083,2,0,0,2,1
2020,2012662083,4,0,1,4,1
2020,2015652891,0,1,0,3,1
2020,2012662083,7,3,1,8,1
2020,2012662083,2,0,0,5,1
2020,2012662083,7,0,0,1,1
2020,2012662083,3,0,0,1,1
2020,2012662083,4,0,0,4,1
2020,2012662083,2,1,2,7,1
2020,2012662083,3,3,0,6,1
2020,2012662083,3,1,0,2,1
2020,2016652575,2,0,1,4,2
2020,2016654616,1,2,1,2,2
2020,2016654616,2,1,0,5,2
2020,2016654616,0,1,0,4,2
2020,2016654616,1,3,2,6,2
2020,2016654616,1,4,1,2,2
2020,2016654616,2,2,1,4,2
2020,2016654616,2,1,1,4,2
2020,2016654616,1,2,0,7,2
2020,2016654616,0,2,0,4,2
2020,2016654616,0,2,1,5,2
2020,2016654616,2,3,1,7,2
2020,2016654616,1,1,0,7,2
2020,2016654616,5,2,0,3,2
2020,2016654616,1,4,2,5,2
2020,2016654616,5,1,0,4,2
2020,2016654616,2,2,0,5,2
2020,2016654616,5,0,0,1,2
2020,2012674522,0,2,2,7,3
2020,2005667052,0,1,1,4,3
2020,2005667052,0,3,1,5,3
2020,2005667052,0,4,0,2,3
2020,2005667052,0,1,0,3,3
2020,2005667052,0,4,0,6,3
2020,2005667052,0,3,0,3,3
2020,2005667052,0,1,0,4,3
2020,2005667052,0,4,1,3,3
2020,2005667052,1,1,1,8,3
2020,2005667052,0,0,0,5,3
2020,2005667052,0,3,2,8,3
2020,2005667052,0,2,0,5,3
2020,2005667052,0,3,0,4,3
2020,2012674522,0,4,4,9,3
2020,2012656391,1,2,12,14,4
2020,2012656391,0,4,8,11,4
2020,2012656391,0,4,6,12,4
2020,2012656391,0,5,4,6,4
2020,2012656391,1,4,4,6,4
2020,2012656391,0,3,2,8,4
2020,2012656391,1,3,5,13,4
2020,2012656391,0,3,5,10,4
2020,2012656391,0,2,7,10,4
2020,2012656391,3,2,3,13,4
2020,2012656391,3,4,5,13,4
2020,2012656391,0,4,5,11,4
2020,2012656391,0,4,2,5,4
2020,2012656391,3,3,6,8,4
2020,2012656391,3,3,2,12,4
2020,2012656391,1,4,4,11,4
2020,2008665688,0,0,2,4,5
2020,2008665688,1,1,1,3,5
2020,2014707339,2,2,1,3,5
2020,2020677029,1,1,1,3,5
2020,2014673527,0,1,2,9,5
2020,2008665688,0,1,2,3,5
2020,2017664774,0,1,0,3,5
2020,2008665688,0,0,0,3,5
2020,2018673109,0,1,1,1,5
2020,2018673109,0,3,1,5,5
2020,2018673109,2,0,1,7,5
2020,2018673109,0,2,1,6,5
2020,2018673109,1,0,1,8,5
2020,2014659159,3,2,2,4,6
2020,2014659159,1,2,0,4,6
2020,2014651814,2,2,0,0,6
2020,2014651814,1,0,3,6,6
2020,2014651814,1,0,0,3,6
2020,2014659159,1,3,2,4,6
2020,2014659159,1,3,2,4,6
2020,2014659159,0,4,1,2,6
2020,2014651814,4,2,3,8,6
2020,2014651814,1,4,3,7,6
2020,2014651814,3,6,1,5,6
2020,2014651814,1,4,2,5,6
2020,2017651121,0,5,0,3,8
2020,2017651121,0,2,0,7,8
2020,2017651121,1,0,0,5,8
2020,2017651121,0,4,0,3,8
2020,2017651121,1,3,0,7,8
2020,2017651121,1,0,1,5,8
2020,2017651121,0,7,0,2,8
2020,2017651121,0,2,1,8,8
2020,2017651121,1,2,2,5,8
2020,2017651121,2,9,2,6,8
2020,2017651121,1,4,2,6,8
2020,2002652211,1,4,2,10,7
2020,2002652211,1,6,1,7,7
2020,2002652211,1,0,1,7,7
2020,2014668825,2,1,0,2,7
2020,2019659412,1,0,0,3,7
2020,2019659412,0,0,2,6,7
2020,2019659412,3,2,2,5,7
2020,2019659412,0,1,3,9,7
2020,2019659412,1,0,1,8,7
2020,2002652211,0,5,1,7,7
2020,2002652211,2,2,1,4,7
2020,2002652211,0,4,1,4,7
2020,2019677166,2,3,1,5,9
2020,2020651147,1,0,0,1,9
2020,2020651147,0,2,1,9,9
2020,2020651147,2,1,0,10,9
2020,2020651147,3,1,1,3,9
2020,2020651147,1,2,0,3,9
2020,2019677166,0,1,0,4,9
2020,2020666559,2,2,1,7,9
2020,2020666559,0,0,0,1,9
2020,2011663064,0,2,3,6,10
2020,2011663064,0,2,0,4,10
2020,2002669287,0,0,0,6,10
2020,2015663968,0,0,2,5,10
2020,2011663064,2,2,2,5,10
2020,2011663064,0,2,3,8,10
2020,2011663064,0,1,1,4,10
2020,2011663064,0,3,1,7,10
2020,2020667638,0,2,0,3,11
2020,2015665345,0,1,0,5,11
2020,2015665345,1,1,1,3,11
2020,2015665345,3,8,2,7,11
2020,2015665345,2,4,3,7,11
2020,2015665345,1,1,1,6,11
2020,2015665345,0,2,4,8,11
2020,2018651635,1,0,0,3,12
2020,2018651635,1,0,0,2,12
2020,2013651330,0,6,6,9,12
2020,2011656008,3,0,4,8,12
2020,2013651330,5,3,2,10,12
2020,2013651330,3,5,5,12,12
2020,2015653134,2,3,0,3,13
2020,2015653134,0,1,2,2,13
2020,2015653134,2,2,2,3,13
2020,2015653134,0,5,0,0,13
2020,2015653134,2,4,3,7,13
2020,2015653134,2,1,1,6,13
2020,2010658214,1,2,0,6,14
2020,2020654979,0,2,0,1,14
2020,2020654979,0,1,0,3,14
2020,2020654979,0,1,1,5,14
2020,2010658214,2,0,1,3,14
2020,2014668660,1,5,3,8,15
2020,2017662715,1,1,1,7,15
2020,2017662715,2,1,0,2,15
2020,2014668660,1,0,1,6,15
2020,2016655002,2,3,0,3,16
2020,2016655002,1,0,2,3,16
2020,2015654090,0,1,0,7,17
2019,2015652891,2,10,1,6,1
2019,2015652891,4,4,2,6,1
2019,2015652891,3,2,2,3,1
2019,2015652891,4,2,1,4,1
2019,2015652891,6,4,4,11,1
2019,2015652891,3,6,4,8,1
2019,2015652891,0,3,2,5,1
2019,2015652891,7,4,1,3,1
2019,2015652891,0,8,0,4,1
2019,2015652891,2,5,1,5,1
2019,2015652891,2,2,2,6,1
2019,2015652891,0,2,2,5,1
2019,2015652891,1,7,1,8,1
2019,2015652891,3,2,2,4,1
2019,2015652891,4,1,0,6,1
2019,2015652891,1,7,1,4,1
2019,2015652891,0,4,1,2,1
2019,2015652891,0,0,1,3,1
2019,2015652891,3,0,0,6,1
2019,2015652891,4,4,1,5,1
2019,2005667052,0,1,4,6,1
2019,2005667052,0,2,1,8,1
