year,player_id,rebounds,inside_50s,clearances,contested_possessions,team_id
2019,2015656514,3,1,0,7,2
2019,2015656514,3,0,0,3,2
2019,2015656514,1,1,0,3,2
2019,2015656514,4,2,0,6,2
2019,2015656514,0,3,0,5,2
2019,2019652827,2,0,0,3,2
2019,2019652827,0,2,1,11,2
2019,2015656514,1,1,0,5,2
2019,2015656514,4,1,0,7,2
2019,2015656514,4,1,0,10,2
2019,2017654463,3,3,1,8,2
2019,2017654463,0,4,0,3,2
2019,2015656514,2,2,0,6,2
2019,2016652575,0,2,0,1,2
2019,2016652575,2,1,0,4,2
2019,2016652575,4,1,0,7,2
2019,2016652575,4,1,0,3,2
2019,2016652575,1,1,0,6,2
2019,2016652575,1,1,0,4,2
2019,2016652575,7,0,0,10,2
2019,2016652575,5,1,0,6,2
2019,2016652575,4,0,0,3,2
2019,2016652575,2,0,0,4,2
2019,2014676336,2,2,8,22,3
2019,2014676336,0,4,10,22,3
2019,2012674522,0,7,1,7,3
2019,2012674522,0,0,1,2,3
2019,2012674522,0,1,0,7,3
2019,2012674522,0,2,2,8,3
2019,2012674522,0,2,0,4,3
2019,2012674522,4,1,0,5,3
2019,2012674522,1,0,1,2,3
2019,2012674522,2,0,0,4,3
2019,2012674522,5,0,2,3,3
2019,2012674522,2,3,1,8,3
2019,2012674522,0,1,2,7,3
2019,2012674522,0,2,1,4,3
2019,2012674522,1,0,2,11,3
2019,2012674522,1,4,0,2,3
2019,2012674522,1,1,3,6,3
2019,2012674522,0,0,1,7,3
2019,2012674522,2,1,4,13,3
2019,2012674522,0,0,1,3,3
2019,2014659159,4,2,0,4,4
2019,2014659159,3,3,1,5,4
2019,2012656391,0,7,4,10,4
2019,2012656391,3,5,6,11,4
2019,2012656391,3,6,6,10,4
2019,2012656391,0,1,5,7,4
2019,2014659159,6,0,0,2,4
2019,2014659159,1,4,1,8,4
2019,2014659159,2,2,2,9,4
2019,2014659159,5,2,0,5,4
2019,2014659159,5,1,1,4,4
2019,2017661572,1,2,1,2,4
2019,2014659159,2,2,1,7,4
2019,2014659159,3,4,2,7,4
2019,2012656391,3,3,11,15,4
2019,2017661572,0,4,0,4,4
2019,2012656391,0,4,5,9,4
2019,2012656391,2,5,2,7,4
2019,2012656391,0,5,3,9,4
2019,2012656391,2,3,9,16,4
2019,2012656391,3,1,4,6,4
2019,2014655392,0,0,0,4,5
2019,2014655392,2,0,0,3,5
2019,2014655392,2,2,0,5,5
2019,2014655392,3,0,0,1,5
2019,2014655392,2,0,0,0,5
2019,2014655392,1,1,0,2,5
2019,2014655392,0,0,0,7,5
2019,2014655392,2,1,0,8,5
2019,2014655392,0,3,0,4,5
2019,2014655392,2,1,0,3,5
2019,2017664774,1,1,0,3,5
2019,2011669981,1,4,0,1,5
2019,2011669981,0,3,0,3,5
2019,2014655392,4,0,0,0,5
2019,2014655392,1,0,1,6,5
2019,2014655392,6,1,0,6,5
2019,2014655392,0,0,1,4,5
2019,2014655392,8,0,0,2,5
2019,2009661143,0,1,0,1,6
2019,2018667843,0,2,1,6,6
2019,2018667843,1,1,0,7,6
2019,2018669647,0,6,4,14,6
2019,2018669647,0,3,2,5,6
2019,2018669647,0,1,0,4,6
2019,2018669647,0,2,2,4,6
2019,2019662031,1,3,0,4,6
2019,2019662031,2,0,1,9,6
2019,2015665690,1,2,0,4,6
2019,2015665690,2,1,2,9,6
2019,2019662031,1,6,1,4,6
2019,2009661143,0,3,0,6,6
2019,2018667843,0,1,0,1,6
2019,2018667843,1,2,2,6,6
2019,2018667843,2,3,2,6,6
2019,2017651121,0,1,1,3,8
2019,2018666487,3,0,0,3,8
2019,2017651121,0,2,2,6,8
2019,2017651121,1,4,2,7,8
2019,2017651121,0,1,2,6,8
2019,2017651121,1,3,3,5,8
2019,2018666487,4,0,0,0,8
2019,2018666487,5,2,0,4,8
2019,2016654616,2,3,4,9,8
2019,2018666487,2,1,0,4,8
2019,2018666487,4,0,0,2,8
2019,2017651121,2,2,1,4,8
2019,2017651121,0,4,3,15,8
2019,2002652211,4,4,1,13,7
2019,2002652211,0,3,2,7,7
2019,2002652211,0,8,1,6,7
2019,2002652211,0,8,5,12,7
2019,2002652211,1,5,1,6,7
2019,2018655703,1,2,3,6,7
2019,2019659412,0,1,4,9,7
2019,2002652211,2,5,2,8,7
2019,2002652211,0,7,2,9,7
2019,2002652211,1,5,2,5,7
2019,2002652211,0,5,0,8,7
2019,2002652211,1,5,1,9,7
2019,2002652211,3,5,5,12,7
2019,2002652211,1,6,6,9,7
2019,2002652211,0,2,0,7,7
2019,2002652211,1,3,0,9,7
2019,2012664999,0,1,0,5,9
2019,2012664999,0,3,0,4,9
2019,2012664999,0,1,0,2,9
2019,2012664999,3,2,2,9,9
2019,2012664999,2,1,0,6,9
2019,2012671758,0,3,1,5,9
2019,2012664999,3,1,1,4,9
2019,2012664999,0,0,0,2,9
2019,2012671758,0,3,1,4,9
2019,2018669246,0,1,1,4,9
2019,2018669246,0,1,1,2,9
2019,2019677166,0,3,3,4,9
2019,2012671758,1,2,1,8,9
2019,2012671758,0,5,0,4,9
2019,2011663064,1,3,0,9,10
2019,2011663064,0,1,1,7,10
2019,2011663064,0,3,1,8,10
2019,2016668464,7,1,1,6,10
2019,2011663064,0,4,0,5,10
2019,2011663064,0,4,1,8,10
2019,2016668464,1,0,0,7,10
2019,2011663064,1,3,3,14,10
2019,2006668040,2,1,1,4,10
2019,2011663064,0,7,2,14,10
2019,2015665345,2,3,8,16,11
2019,2015665345,0,3,6,12,11
2019,2015665345,1,5,3,6,11
2019,2015665345,4,3,2,8,11
2019,2019665482,2,2,1,5,11
2019,2015665345,0,0,2,6,11
2019,2015665345,1,2,3,6,11
2019,2019665482,0,1,3,5,11
2019,2019665482,0,1,1,2,11
2019,2015665345,5,5,3,15,11
2019,2015665345,0,1,3,9,11
2019,2013651330,2,5,4,9,12
2019,2013651330,1,3,6,14,12
2019,2013651330,0,4,6,12,12
2019,2013651330,1,1,2,8,12
2019,2018651635,2,5,5,10,12
2019,2018651635,7,1,1,9,12
2019,2013651330,0,2,1,5,12
2019,2007664906,3,6,5,17,13
2019,2007664906,0,4,8,13,13
2019,2015653134,1,5,5,13,13
2019,2007664906,1,4,10,21,13
2019,2015653134,3,3,1,6,13
2019,2015653134,1,3,0,6,13
2019,2010658214,3,1,0,2,14
2019,2018663038,0,5,0,4,14
2019,2010658214,1,0,0,6,14
2019,2010658214,3,0,0,7,14
2019,2014651814,2,4,1,7,15
2019,2014651814,2,5,2,9,15
2019,2014651814,1,1,1,4,15
2019,2016655002,3,1,0,6,16
2019,2016655002,5,1,0,10,16
2019,2018659713,0,3,1,6,17
2018,2015652891,2,4,1,4,1
2018,2015652891,2,2,1,3,1
2018,2015652891,3,3,2,5,1
2018,2015652891,7,5,2,8,1
2018,2015652891,4,3,2,9,1
2018,2015652891,2,5,2,8,1
2018,2015652891,0,1,1,6,1
2018,2015652891,4,5,1,6,1
2018,2015652891,3,1,0,5,1
2018,2015652891,2,4,0,6,1
2018,2015652891,2,4,2,5,1
2018,2015652891,3,0,3,7,1
2018,2015652891,2,1,0,5,1
2018,2012662083,2,1,0,2,1
2018,2012662083,5,0,0,3,1
2018,2015652891,3,3,0,10,1
2018,2015652891,1,4,0,5,1
2018,2015652891,1,5,1,10,1
2018,2015652891,3,9,2,8,1
2018,2015652891,0,4,1,3,1
2018,2015652891,4,3,1,5,1
2018,2015652891,3,2,1,4,1
2018,2015656514,3,1,0,3,2
2018,2015656514,3,0,1,4,2
2018,2015656514,0,1,0,6,2
2018,2015656514,3,0,0,8,2
2018,2017654463,4,1,0,1,2
2018,2017654463,1,2,0,4,2
2018,2017654463,2,2,0,1,2
2018,2015656514,4,2,1,12,2
2018,2015656514,3,0,0,7,2
2018,2015656514,5,1,1,6,2
2018,2015656514,4,0,0,9,2
2018,2015656514,6,1,0,8,2
2018,2015656514,0,0,0,3,2
2018,2015663855,0,2,0,4,2
2018,2015663855,0,1,0,3,2
2018,2015663855,0,2,0,5,2
2018,2015656514,5,0,0,5,2
2018,2015656514,2,2,0,2,2
2018,2015656514,4,1,0,5,2
2018,2015656514,0,0,1,5,2
2018,2015656514,1,1,0,5,2
2018,2015666052,4,0,1,4,3
2018,2015666052,2,4,0,3,3
2018,2012674522,1,3,4,9,3
2018,2012674522,1,4,1,7,3
2018,2012674522,0,1,0,3,3
2018,2012674522,1,0,0,5,3
2018,2014676336,0,6,8,19,3
2018,2014676336,3,2,10,23,3
2018,2014676336,1,6,8,22,3
2018,2014676336,2,2,6,11,3
2018,2012674522,0,1,0,5,3
2018,2014676336,2,2,7,20,3
2018,2012674522,0,1,0,5,3
2018,2014676336,0,3,10,23,3
2018,2012674522,0,2,0,3,3
2018,2015666052,2,3,0,4,3
2018,2015666052,2,2,0,4,3
2018,2015666052,3,0,0,7,3
2018,2015666052,1,1,0,7,3
2018,2012656391,0,3,5,15,4
2018,2012656391,0,3,4,12,4
2018,2014659159,0,4,1,3,4
2018,2014659159,0,3,2,5,4
2018,2012656391,3,2,7,11,4
2018,2012656391,1,5,7,9,4
2018,2012656391,2,2,4,9,4
2018,2012656391,1,4,8,18,4
2018,2012656391,2,3,8,12,4
2018,2012656391,1,2,8,17,4
2018,2012656391,1,3,3,9,4
2018,2012656391,0,6,10,13,4
2018,2012656391,3,3,5,11,4
2018,2012656391,0,3,7,16,4
2018,2012656391,1,3,10,22,4
2018,2012656391,2,6,5,12,4
2018,2012656391,2,7,4,11,4
2018,2012656391,4,7,6,12,4
2018,2012656391,3,5,5,11,4
2018,2012656391,0,9,7,19,4
2018,2012656391,4,4,9,19,4
2018,2017664774,0,0,0,5,5
2018,2012662089,0,1,0,4,5
2018,2012662089,1,1,0,0,5
2018,2014655392,2,0,0,8,5
2018,2014655392,0,2,1,3,5
2018,2014655392,4,1,0,3,5
2018,2014655392,1,1,0,2,5
2018,2012662089,0,3,0,3,5
2018,2012662089,1,4,0,5,5
2018,2014655392,0,0,0,4,5
2018,2012662089,0,1,0,6,5
2018,2012662089,0,3,0,4,5
2018,2012662089,0,3,0,4,5
2018,2012662089,0,2,0,2,5
2018,2012662089,2,2,1,6,5
2018,2012662089,0,0,0,2,5
2018,2012662089,0,3,1,4,5
2018,2009661143,1,1,1,4,6
2018,2009661143,1,3,1,7,6
2018,2009661143,1,1,1,4,6
2018,2009661143,0,6,1,4,6
2018,2009661143,0,1,0,2,6
2018,2009661143,1,1,0,3,6
2018,2009661143,0,4,0,2,6
2018,2009661143,1,2,1,5,6
2018,2009661143,0,1,1,3,6
2018,2014653706,0,1,0,2,6
2018,2018667843,2,2,6,12,6
2018,2018667843,1,1,5,8,6
2018,2009661143,0,5,1,3,6
2018,2009661143,0,0,0,2,6
2018,2017651121,2,1,2,10,8
2018,2017651121,0,2,0,0,8
2018,2016654616,1,3,0,8,8
2018,2016654616,4,2,1,5,8
2018,2016654616,0,2,0,6,8
2018,2016654616,1,0,1,5,8
2018,2016654616,2,7,2,6,8
2018,2016654616,0,1,1,4,8
2018,2016654616,3,1,0,2,8
2018,2016654616,0,3,1,6,8
2018,2016654616,3,2,0,5,8
2018,2016654616,3,2,1,6,8
2018,2016654616,3,1,0,5,8
2018,2016654616,2,2,1,5,8
2018,2002652211,1,7,2,10,7
2018,2002652211,2,3,5,15,7
2018,2002652211,2,3,5,10,7
2018,2014668825,3,1,0,5,7
2018,2014668825,3,0,0,1,7
2018,2014668825,0,2,1,4,7
2018,2014668825,2,0,2,9,7
2018,2002652211,4,6,7,16,7
2018,2002652211,2,7,7,12,7
2018,2002652211,2,5,4,11,7
2018,2002652211,1,9,2,4,7
2018,2002652211,1,8,6,14,7
2018,2018655703,1,0,1,6,7
2018,2002652211,2,4,7,14,7
2018,2018655703,0,0,0,2,7
2018,2012671758,0,5,0,8,9
2018,2012671758,1,5,1,9,9
2018,2012671758,0,2,0,8,9
2018,2012671758,1,1,1,9,9
2018,2012671758,0,4,0,5,9
2018,2012675967,2,4,7,13,9
2018,2012675967,4,2,4,11,9
2018,2012675967,0,3,4,10,9
2018,2012664999,3,1,0,7,9
2018,2012664999,5,0,2,7,9
2018,2018669246,0,1,1,4,9
2018,2018669246,0,0,0,6,9
2018,2012664999,3,1,0,9,9
2018,2016668464,1,0,1,3,10
2018,2011663064,3,6,3,10,10
2018,2011663064,0,1,3,6,10
2018,2011663064,0,2,0,8,10
2018,2011663064,0,3,2,10,10
2018,2011663064,0,4,0,8,10
2018,2011663064,0,4,0,5,10
2018,2011663064,1,4,1,15,10
2018,2016668464,3,0,1,3,10
2018,2016668464,1,0,0,4,10
2018,2011663064,0,4,0,7,10
2018,2011663064,0,4,3,7,10
2018,2012669664,0,3,2,7,11
2018,2015665345,3,2,1,11,11
2018,2015665345,3,8,5,10,11
2018,2015665345,2,9,2,7,11
2018,2015665345,0,4,6,14,11
2018,2015665345,1,4,5,13,11
2018,2015665345,0,5,6,16,11
2018,2015665345,2,3,6,15,11
2018,2015665345,2,3,8,14,11
2018,2015665345,2,7,2,7,11
2018,2013651330,0,3,2,8,12
2018,2013651330,2,4,7,15,12
2018,2013651330,1,1,3,11,12
2018,2013651330,0,3,7,16,12
2018,2018651635,2,2,2,6,12
2018,2018651635,0,3,2,12,12
2018,2018651635,3,5,12,22,12
2018,2018651635,1,2,2,5,12
2018,2018651635,2,7,2,5,12
2018,2014667833,0,6,2,4,13
2018,2015653134,2,3,3,5,13
2018,2007664906,4,1,0,10,13
2018,2007664906,0,4,1,8,13
2018,2007664906,2,2,1,6,13
2018,2007664906,4,7,3,9,13
2018,2007664906,5,1,2,5,13
2018,2010658214,3,0,0,4,14
2018,2010658214,3,0,0,8,14
2018,2010658214,0,1,0,9,14
2018,2010658214,5,1,0,5,14
2018,2010658214,2,0,0,2,14
2018,2016652024,2,0,0,3,15
2018,2016652024,4,0,0,3,15
2018,2014651814,0,2,5,9,15
2018,2012674793,0,1,1,7,16
2018,2016655002,0,2,0,2,16
2018,2016655002,4,1,0,5,16
2018,2015662872,2,1,0,6,17
2018,2016676071,0,0,0,2,17
